회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member
1000012800,정상회원,수지구-풍덕천동,여,58,미신청,.,normal
1000103744,정상회원,처인구-고림동,여,34,미신청,.,normal
1000122304,정상회원,광주-기타,여,38,미신청,.,normal
1000163136,정상회원,수지구-동천동,여,73,미신청,.,normal
1000281920,정상회원,수지구-풍덕천동,여,42,신청,.,normal
1000330176,정상회원,수지구-신봉동,여,64,미신청,.,normal
1000491648,정상회원,수지구-동천동,여,37,미신청,.,normal
1000508352,정상회원,기흥구-상하동,여,35,미신청,.,normal
1000565888,정상회원,수지구-상현동,여,52,미신청,.,normal
1000577024,정상회원,기타-기타,여,47,미신청,.,normal
1000796032,정상회원,수지구-동천동,여,40,미신청,.,normal
1000807168,정상회원,수지구-동천동,여,39,미신청,.,normal
1001042880,정상회원,수지구-신봉동,여,42,미신청,.,normal
1001111552,정상회원,수지구-풍덕천동,여,47,미신청,.,normal
100134912,정상회원,수지구-성복동,여,49,미신청,.,normal
1001440064,정상회원,수지구-동천동,여,50,미신청,.,normal
1001592256,정상회원,수지구-성복동,여,40,미신청,.,normal
1001595968,정상회원,수지구-동천동,여,50,미신청,.,normal
1001677632,정상회원,수지구-동천동,여,78,미신청,.,normal
1001707328,정상회원,수지구-동천동,여,42,미신청,.,normal
1001712896,정상회원,수지구-신봉동,여,49,미신청,.,normal
1001714752,정상회원,수지구-동천동,여,52,미신청,.,normal
1001744448,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1001750016,정상회원,분당구-백현동,여,44,미신청,.,normal
1001776000,정상회원,기타-기타,남,57,미신청,.,normal
1001982016,정상회원,수지구-상현동,여,52,미신청,.,normal
1002102656,정상회원,수지구-동천동,여,59,신청,.,normal
1002106368,정상회원,분당구-판교동,여,40,미신청,.,normal
1002115648,정상회원,수지구-풍덕천동,여,61,미신청,.,normal
1002182464,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
100224000,정상회원,수지구-상현동,여,63,미신청,.,normal
100225856,정상회원,수지구-풍덕천동,여,48,미신청,.,normal
1003019520,정상회원,기타-기타,여,72,미신청,.,normal
1003088192,정상회원,기타-기타,여,66,미신청,.,normal
1004585984,정상회원,수지구-신봉동,여,61,미신청,.,normal
1004617536,정상회원,수지구-죽전동,여,41,미신청,수신,normal
1004699200,정상회원,수지구-풍덕천동,여,40,미신청,.,normal
1004825408,정상회원,수지구-상현동,여,40,미신청,.,normal
1004836544,정상회원,수지구-동천동,여,40,미신청,.,normal
1005029568,정상회원,수지구-성복동,여,55,미신청,.,normal
1005059264,정상회원,수지구-풍덕천동,여,39,미신청,.,normal
1005142784,정상회원,수지구-동천동,여,65,미신청,.,normal
1005174336,정상회원,수지구-성복동,여,37,미신청,.,normal
1005230016,정상회원,수지구-풍덕천동,여,42,미신청,.,normal
1005389632,정상회원,수지구-동천동,여,54,신청,.,normal
1005393344,정상회원,수지구-죽전동,여,42,미신청,.,normal
1005430464,정상회원,수지구-동천동,여,57,미신청,.,normal
100548800,정상회원,수지구-동천동,여,53,미신청,.,normal
1005500992,정상회원,수지구-동천동,여,37,미신청,.,normal
1005616064,정상회원,수지구-상현동,여,73,미신청,.,normal
1005669888,정상회원,수지구-상현동,여,63,미신청,수신,normal
1005729280,정상회원,분당구-구미동,남,50,미신청,.,normal
1005732992,정상회원,수지구-풍덕천동,여,44,미신청,.,normal
1005924160,정상회원,수지구-풍덕천동,여,40,미신청,.,normal
1005942720,정상회원,수지구-동천동,여,46,미신청,.,normal
1005976128,정상회원,수지구-동천동,여,40,미신청,.,normal
1005983552,정상회원,기흥구-동백동,여,43,미신청,.,normal
1006050368,정상회원,수지구-동천동,여,66,미신청,.,normal
1006132032,정상회원,수지구-신봉동,여,64,미신청,.,normal
1006167296,정상회원,수지구-풍덕천동,여,47,미신청,.,normal
1006213696,정상회원,수원 영통구-기타,여,45,미신청,.,normal
1006302784,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1006313920,정상회원,수지구-동천동,여,40,미신청,.,normal
1006319488,정상회원,수지구-풍덕천동,여,46,신청,.,normal
1006334336,정상회원,수지구-상현동,여,39,미신청,.,normal
1006349184,정상회원,수지구-풍덕천동,여,41,미신청,.,normal
1006436416,정상회원,수지구-동천동,여,45,미신청,.,normal
1006532928,정상회원,수지구-신봉동,여,37,미신청,.,normal
1006614592,정상회원,수지구-동천동,여,38,미신청,.,normal
1006670272,정상회원,기타-기타,여,72,미신청,.,normal
1006712960,정상회원,수지구-풍덕천동,여,46,미신청,.,normal
1006891136,정상회원,수지구-동천동,여,47,미신청,.,normal
1006917120,정상회원,수지구-풍덕천동,여,63,미신청,.,normal
1006998784,정상회원,수지구-풍덕천동,여,37,미신청,.,normal
1007015488,정상회원,기흥구-보정동,여,54,신청,.,normal
1007212224,정상회원,수지구-풍덕천동,여,34,미신청,.,normal
1007219648,정상회원,수지구-성복동,여,51,미신청,.,normal
1007247488,정상회원,수지구-상현동,여,39,미신청,.,normal
1007314304,정상회원,수지구-동천동,여,38,신청,.,normal
1007576000,정상회원,수지구-상현동,여,42,미신청,.,normal
1007739328,정상회원,수지구-동천동,여,56,미신청,.,normal
1007817280,정상회원,수지구-풍덕천동,여,48,미신청,수신,normal
1007820992,정상회원,수지구-풍덕천동,여,48,미신청,수신,normal
1007830272,정상회원,수지구-신봉동,여,56,미신청,.,normal
1007880384,정상회원,수지구-상현동,여,41,미신청,.,normal
1008056704,정상회원,수지구-상현동,여,42,미신청,.,normal
1008080832,정상회원,수지구-동천동,여,63,미신청,.,normal
1008082688,정상회원,수지구-동천동,여,46,미신청,.,normal
1008116096,정상회원,수지구-상현동,여,62,미신청,.,normal
1008201472,정상회원,수지구-풍덕천동,여,48,미신청,.,normal
1008335104,정상회원,분당구-구미동,여,51,미신청,.,normal
1008370368,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1008511424,정상회원,수지구-동천동,여,46,미신청,수신,normal
1008613504,정상회원,수지구-풍덕천동,여,39,미신청,.,normal
1008698880,정상회원,수원 영통구-기타,여,40,미신청,.,normal
1008719296,정상회원,수원 영통구-기타,여,44,미신청,.,normal
1008748992,정상회원,수지구-동천동,여,52,미신청,.,normal
1008800960,정상회원,수지구-동천동,여,49,미신청,.,normal
1008955008,정상회원,수지구-성복동,여,42,신청,.,normal
1009040384,정상회원,수지구-동천동,여,60,미신청,.,normal
1009066368,정상회원,기흥구-보정동,여,52,미신청,.,normal
100932992,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1009355904,정상회원,수지구-신봉동,여,37,미신청,수신,normal
1009381888,정상회원,수지구-풍덕천동,여,44,미신청,.,normal
1009406016,정상회원,기흥구-청덕동,남,51,미신청,.,normal
1009480256,정상회원,수지구-풍덕천동,여,50,미신청,.,normal
1009495104,정상회원,수지구-동천동,여,45,미신청,.,normal
1009508096,정상회원,수지구-동천동,여,51,미신청,.,normal
100955264,정상회원,수지구-풍덕천동,여,85,미신청,.,normal
1009565632,정상회원,서울 강남구-기타,여,67,미신청,.,normal
1009641728,정상회원,수지구-풍덕천동,여,44,미신청,.,normal
1009671424,정상회원,기흥구-보정동,여,38,미신청,.,normal
1009959104,정상회원,수지구-동천동,여,30,미신청,.,normal
1010090880,정상회원,수지구-풍덕천동,여,42,미신청,수신,normal
101010944,정상회원,수원 팔달구-기타,여,69,미신청,.,normal
1010144704,정상회원,수지구-신봉동,남,77,미신청,.,normal
